id,name,text,trans
0000000000000,番組司会者,では、早速次のアトラクションを\n決めましょう！,那么，我们马上决定下一个项目吧！
3014021020010,甜花,つ、次こそ……\n流れるプール……！,下、下一个……\n漂流池……！
3014021020020,甘奈,甜花ちゃんなら、きっと引けるよ！,甜花酱的话，一定能抽到的！
3014021020030,甜花,……！\n……もしかしたら……,……！\n……也许……
3014021020031,甘奈＆千雪,……？,……？
3014021020040,甜花,引きたいって思ってると、こない……？\n……なーちゃんか千雪さん、やってみて……！,想抽到的话，反而抽不到……？\n……奈奈酱或者千雪姐，你们试试吧……！
3014021020050,千雪,……\nじゃあ、ここは私が……,……\n那我来试试……
3014021020060,千雪,……えいっ,……嘿
0000000000000,番組司会者,……すごい！\n一番の当たりを引いてくれました！,……厉害！\n抽中了最好的奖项！
3014021020061,一同,～～！,～～！
3014021020070,千雪,はい、ということで私が引いたのは……\n『スプラッシュ・ウォーターパーク』の一押し！,好的，我抽到的是……\n‘激流水上乐园’的强推项目！
3014021020080,千雪,『サバイバル・アイランド！\n～脱出せよ絶海の孤島～』でした！,‘生存岛！\n～逃离绝海孤岛～’！
3014021020081,甘奈＆甜花,わ～！,哇～！
3014021020090,千雪,甜花ちゃん\n流れるプール、引けなくてごめんね,甜花酱\n没抽到漂流池，抱歉啊
3014021020100,甜花,ううん……！\nこれ、早くやりたい……！,没关系……！\n这个，我也好想玩……！
0000000000000,アトラクションの係員,アルストロメリアの皆さん！\nこんにちは～！,阿尔斯特罗美莉亚的各位！\n大家好～！
3014021020101,一同,こんにちは～,大家好～
0000000000000,アトラクションの係員,元気な挨拶、ありがとうございます！,谢谢你们这么有活力的问候！
0000000000000,アトラクションの係員,では、まず～……\nこちらのミニモニターを腕に巻いてください！,那么，首先……\n请把这个小显示器绑在手腕上！
3014021020110,甘奈,できました！,绑好了！
0000000000000,アトラクションの係員,画面に数字は表示されていますか？,屏幕上显示数字了吗？
3014021020120,甜花,50……って、出てます……！,显示50……！
0000000000000,アトラクションの係員,はい！　それが皆さんのライフになります！\nゼロになると『離脱扱い』になっちゃいます！,好的！ 这就是你们的生命值！\n降到零就会被‘淘汰’！
3014021020130,甘奈,それって、どういうことですか？,那是什么意思？
0000000000000,アトラクションの係員,無人島の中では、様々な要因でライフが増減するのですが\n離脱してしまうと、ライフが増えなくなってしまいます！,在无人岛上，由于各种原因生命值会增减\n一旦被淘汰，生命值就不会再增加了！
3014021020140,千雪,なるほど……。あと、数字の他に\n『メンバー２』って出てるんですが、これはなんでしょう？,原来如此……。另外，除了数字外\n还显示‘成员2’，这是什么意思？
0000000000000,アトラクションの係員,それぞれの、役割ですね！\n無人島内で、必要に応じて指示があります！,这是各自的角色！\n在无人岛内，会根据需要给出指示！
3014021020150,甜花,甜花は……\n『メンバー１』……,甜花是……\n‘成员1’……
3014021020160,甘奈,……！　甘奈『リーダー』ってなってる！\n責任重大だ～……！,……！ 我是‘队长’！\n责任重大啊～……！
0000000000000,アトラクションの係員,他に質問はございますか！？,还有其他问题吗！？
3014021020161,一同,大丈夫です！,没有问题！
0000000000000,アトラクションの係員,わかりました！\nそれでは…………グッドラック！,明白了！\n那么…………祝你们好运！
0000000000000,番組司会者,我々もアルストロメリアの皆さんの雄姿を撮影するため\n同行いたします！,我们也会跟随阿尔斯特罗美莉亚的各位\n记录你们的英姿！
3014021020170,甘奈,すごい雰囲気あるね～,气氛真不错～
3014021020180,千雪,うん。アトラクションだ、って\n言われないとわからないかも……,嗯。如果不说是项目\n还真看不出来……
3014021020190,甜花,……あ……\nなんか、ある……,……啊……\n有东西……
3014021020200,千雪,棒と板……みたいだけど,像是棍子和木板……
3014021020210,甘奈,えっと……\n『サバイバルの基本！　火起こし！』,嗯……\n‘生存的基本！点火！’
3014021020220,甘奈,『きりを板に押し付け、素早く回転させよう！\n制限時間以内に指定回数達成で、クリア！』だって,‘将钻头压在木板上，迅速旋转！\n在限定时间内达到指定次数即可过关！’
3014021020230,甜花,指定、回数……？,指定，次数……？
